"State","Year","Population","Median_Household_Income","Unemployment_Rate"
"Alabama",2011,4799069,41427,9.6
"Alabama",2012,4815588,41610,8.2
"Alabama",2013,4830081,42882,7.4
"Alabama",2014,4841799,42917,6.8
"Arizona",2011,6472643,46710,9.5
"Arizona",2012,6554978,47796,8.4
"Arizona",2013,6632764,48504,7.8
"Arizona",2014,6730413,50036,6.8
"Arkansas",2011,2940667,38889,7.9
"Arkansas",2012,2952164,40151,7.3
"Arkansas",2013,2959400,40605,7
"Arkansas",2014,2967392,41335,5.9
"California",2011,37638369,57275,11.7
"California",2012,37948800,58322,10.4
"California",2013,38260787,60185,9
"California",2014,38596972,61927,7.6
"Colorado",2011,5121108,55530,8.7
"Colorado",2012,5192647,56880,8
"Colorado",2013,5269035,58942,6.7
"Colorado",2014,5350101,61324,5
"Connecticut",2011,3588283,65822,9
"Connecticut",2012,3594547,67275,8.4
"Connecticut",2013,3594841,67262,8
"Connecticut",2014,3594524,70007,6.6
"Delaware",2011,907381,58159,7.4
"Delaware",2012,915179,58326,7
"Delaware",2013,923576,58244,6.5
"Delaware",2014,932487,59853,5.6
"District of Columbia",2011,619800,62087,10.1
"District of Columbia",2012,634924,65231,9
"District of Columbia",2013,650581,66326,8.4
"District of Columbia",2014,662328,69992,7.7
"Florida",2011,19053237,44250,10.2
"Florida",2012,19297822,45006,8.7
"Florida",2013,19545621,46021,7.5
"Florida",2014,19845911,47439,6.4
"Georgia",2011,9802431,45886,10
"Georgia",2012,9901430,47125,9
"Georgia",2013,9972479,47765,8.1
"Georgia",2014,10067278,49240,7.2
"Idaho",2011,1583910,43345,8.4
"Idaho",2012,1595324,45296,7.5
"Idaho",2013,1611206,46621,6.9
"Idaho",2014,1631112,47572,4.4
"Illinois",2011,12867454,53271,9.8
"Illinois",2012,12882510,55126,9
"Illinois",2013,12895129,56212,9.1
"Illinois",2014,12884493,57458,7.2
"Indiana",2011,6516528,46410,8.9
"Indiana",2012,6537703,46954,8.2
"Indiana",2013,6568713,47508,7.5
"Indiana",2014,6593644,49384,6
