"Order.Date","Year","Region","State","Category","Sub.Category","Segment","Ship.Mode","Sales","Profit","Discount","Quantity","Profit_Margin","Loss_Flag"
2011-01-04,2011,"Central","Texas","Office Supplies","Paper","Consumer","Standard Class",16,5.5512,0.2,2,0.34695,"Profit"
2011-01-05,2011,"Central","Illinois","Office Supplies","Binders","Home Office","Standard Class",4,-5.487,0.8,2,-1.37175,"Loss"
2011-01-05,2011,"Central","Illinois","Office Supplies","Labels","Home Office","Standard Class",12,4.2717,0.2,3,0.355975,"Profit"
2011-01-05,2011,"Central","Illinois","Office Supplies","Storage","Home Office","Standard Class",273,-64.7748,0.2,3,-0.23727032967033,"Loss"
2011-01-06,2011,"East","Pennsylvania","Office Supplies","Art","Consumer","Standard Class",20,4.884,0.2,3,0.2442,"Profit"
2011-01-07,2011,"West","California","Office Supplies","Paper","Consumer","Second Class",19,9.3312,0,3,0.491115789473684,"Profit"
2011-01-07,2011,"South","Georgia","Office Supplies","Art","Corporate","First Class",13,5.2398,0,3,0.403061538461538,"Profit"
2011-01-07,2011,"South","Kentucky","Office Supplies","Art","Home Office","Standard Class",5,1.4796,0,2,0.29592,"Profit"
2011-01-07,2011,"South","Kentucky","Office Supplies","Binders","Home Office","Standard Class",610,274.491,0,2,0.449985245901639,"Profit"
2011-01-07,2011,"South","Kentucky","Office Supplies","Fasteners","Home Office","Standard Class",31,0.3112,0,4,0.0100387096774194,"Profit"
2011-01-07,2011,"South","Kentucky","Office Supplies","Paper","Home Office","Standard Class",7,3.0084,0,1,0.429771428571429,"Profit"
2011-01-07,2011,"South","Kentucky","Furniture","Chairs","Home Office","Standard Class",2574,746.4078,0,9,0.28997972027972,"Profit"
2011-01-07,2011,"South","Kentucky","Technology","Phones","Home Office","Standard Class",392,113.6742,0,2,0.289985204081633,"Profit"
2011-01-07,2011,"South","Kentucky","Technology","Phones","Home Office","Standard Class",756,204.1092,0,4,0.269985714285714,"Profit"
2011-01-08,2011,"Central","Texas","Furniture","Furnishings","Consumer","Standard Class",77,-53.7096,0.6,3,-0.697527272727273,"Loss"
2011-01-08,2011,"Central","Texas","Office Supplies","Binders","Consumer","Standard Class",10,-18.2525,0.8,7,-1.82525,"Loss"
2011-01-10,2011,"Central","Texas","Office Supplies","Art","Consumer","Standard Class",9,1.168,0.2,2,0.129777777777778,"Profit"
2011-01-10,2011,"Central","Texas","Technology","Accessories","Consumer","Standard Class",31,9.75,0.2,3,0.314516129032258,"Profit"
2011-01-11,2011,"South","Virginia","Office Supplies","Labels","Corporate","Standard Class",3,1.3583,0,1,0.452766666666667,"Profit"
2011-01-11,2011,"South","Virginia","Furniture","Furnishings","Corporate","Standard Class",52,21.2954,0,1,0.409526923076923,"Profit"
2011-01-12,2011,"East","Delaware","Furniture","Furnishings","Consumer","First Class",10,3.0814,0,2,0.30814,"Profit"
2011-01-14,2011,"West","California","Office Supplies","Art","Consumer","Standard Class",20,6.567,0,5,0.32835,"Profit"
2011-01-14,2011,"West","California","Office Supplies","Storage","Consumer","Standard Class",1326,238.653,0,5,0.17997963800905,"Profit"
2011-01-14,2011,"South","Louisiana","Office Supplies","Binders","Corporate","Second Class",6,2.7072,0,3,0.4512,"Profit"
2011-01-14,2011,"South","Louisiana","Office Supplies","Envelopes","Corporate","Second Class",51,25.47,0,3,0.499411764705882,"Profit"
2011-01-14,2011,"South","Louisiana","Office Supplies","Envelopes","Corporate","Second Class",11,5.3392,0,2,0.485381818181818,"Profit"
2011-01-14,2011,"South","Louisiana","Office Supplies","Storage","Corporate","Second Class",573,34.3548,0,6,0.0599560209424084,"Profit"
2011-01-14,2011,"South","Louisiana","Technology","Accessories","Corporate","Second Class",647,258.696,0,6,0.399839258114374,"Profit"
2011-01-14,2011,"South","South Carolina","Furniture","Chairs","Consumer","Second Class",546,87.3504,0,6,0.159982417582418,"Profit"
2011-01-14,2011,"East","Ohio","Office Supplies","Binders","Consumer","Standard Class",3,-2.5212,0.7,2,-0.8404,"Loss"
2011-01-14,2011,"West","California","Furniture","Bookcases","Consumer","Standard Class",334,3.9294,0.15,3,0.0117646706586826,"Profit"
2011-01-14,2011,"East","Ohio","Office Supplies","Paper","Consumer","Standard Class",37,13.0928,0.2,7,0.353859459459459,"Profit"
2011-01-15,2011,"East","Pennsylvania","Furniture","Bookcases","Corporate","First Class",62,-53.2856,0.5,4,-0.859445161290323,"Loss"
2011-01-16,2011,"South","Georgia","Technology","Accessories","Consumer","First Class",150,65.978,0,5,0.439853333333333,"Profit"
2011-01-17,2011,"East","Pennsylvania","Technology","Phones","Consumer","Second Class",124,-31.05,0.4,3,-0.250403225806452,"Loss"
2011-01-17,2011,"East","Pennsylvania","Office Supplies","Binders","Consumer","Second Class",19,-13.6312,0.7,2,-0.717431578947368,"Loss"
2011-01-17,2011,"East","Pennsylvania","Furniture","Furnishings","Consumer","Second Class",127,28.5984,0.2,6,0.225184251968504,"Profit"
2011-01-17,2011,"East","Pennsylvania","Office Supplies","Labels","Consumer","Second Class",30,10.1493,0.2,3,0.33831,"Profit"
2011-01-19,2011,"West","Oregon","Office Supplies","Appliances","Corporate","Second Class",65,6.4864,0.2,4,0.0997907692307692,"Profit"
2011-01-20,2011,"West","Arizona","Furniture","Bookcases","Consumer","First Class",181,-320.597,0.7,5,-1.77125414364641,"Loss"
2011-01-20,2011,"West","Arizona","Office Supplies","Binders","Consumer","First Class",32,-23.716,0.7,10,-0.741125,"Loss"
2011-01-20,2011,"West","Arizona","Office Supplies","Envelopes","Consumer","First Class",109,36.693,0.2,5,0.336633027522936,"Profit"
2011-01-20,2011,"West","Arizona","Office Supplies","Paper","Consumer","First Class",56,19.6224,0.2,4,0.3504,"Profit"
2011-01-21,2011,"West","California","Office Supplies","Paper","Consumer","Standard Class",19,9.2928,0,2,0.489094736842105,"Profit"
2011-01-21,2011,"South","Arkansas","Office Supplies","Art","Consumer","Standard Class",7,1.7901,0,3,0.255728571428571,"Profit"
2011-01-21,2011,"South","Arkansas","Office Supplies","Art","Consumer","Standard Class",23,6.6584,0,7,0.289495652173913,"Profit"
2011-01-21,2011,"South","Arkansas","Office Supplies","Envelopes","Consumer","Standard Class",23,10.9698,0,3,0.476947826086957,"Profit"
2011-01-21,2011,"Central","Michigan","Office Supplies","Art","Consumer","Standard Class",44,12.7368,0,3,0.289472727272727,"Profit"
2011-01-21,2011,"Central","Michigan","Office Supplies","Binders","Consumer","Standard Class",19,8.9535,0,5,0.471236842105263,"Profit"
2011-01-21,2011,"Central","Michigan","Office Supplies","Binders","Consumer","Standard Class",30,13.365,0,5,0.4455,"Profit"
2011-01-21,2011,"Central","Michigan","Office Supplies","Storage","Consumer","Standard Class",14,4.0542,0,1,0.289585714285714,"Profit"
2011-01-21,2011,"Central","Michigan","Office Supplies","Storage","Consumer","Standard Class",67,15.9792,0,2,0.23849552238806,"Profit"
2011-01-21,2011,"Central","Michigan","Furniture","Furnishings","Consumer","Standard Class",273,30.0234,0,3,0.109975824175824,"Profit"
2011-01-21,2011,"Central","Michigan","Furniture","Furnishings","Consumer","Standard Class",15,4.8609,0,3,0.32406,"Profit"
2011-01-21,2011,"South","Arkansas","Furniture","Chairs","Consumer","Standard Class",1068,224.2674,0,3,0.209988202247191,"Profit"
2011-01-21,2011,"South","Arkansas","Furniture","Furnishings","Consumer","Standard Class",39,11.58,0,4,0.296923076923077,"Profit"
2011-01-21,2011,"South","Arkansas","Technology","Phones","Consumer","Standard Class",700,181.9818,0,7,0.259974,"Profit"
2011-01-21,2011,"West","California","Furniture","Furnishings","Consumer","Standard Class",19,5.79,0,2,0.304736842105263,"Profit"
2011-01-21,2011,"Central","Michigan","Office Supplies","Appliances","Consumer","Standard Class",248,93.5816,0.1,4,0.377345161290323,"Profit"
2011-01-21,2011,"South","Tennessee","Office Supplies","Binders","Corporate","Standard Class",67,-51.5154,0.7,1,-0.768886567164179,"Loss"
2011-01-22,2011,"South","Florida","Furniture","Furnishings","Consumer","Second Class",25,4.1028,0.2,3,0.164112,"Profit"
2011-01-24,2011,"West","Nevada","Office Supplies","Paper","Consumer","Standard Class",40,19.2384,0,6,0.48096,"Profit"
2011-01-24,2011,"Central","Indiana","Office Supplies","Fasteners","Consumer","Standard Class",6,0,0,3,0,"Profit"
2011-01-27,2011,"South","Virginia","Office Supplies","Paper","Home Office","Standard Class",19,9.3312,0,3,0.491115789473684,"Profit"
2011-01-27,2011,"South","Virginia","Office Supplies","Paper","Home Office","Standard Class",17,8.34,0,2,0.490588235294118,"Profit"
2011-01-27,2011,"South","Virginia","Office Supplies","Storage","Home Office","Standard Class",490,0,0,8,0,"Profit"
2011-01-27,2011,"Central","South Dakota","Office Supplies","Binders","Corporate","First Class",11,5.0196,0,2,0.456327272727273,"Profit"
2011-01-27,2011,"Central","South Dakota","Furniture","Bookcases","Corporate","First Class",142,39.7488,0,2,0.279921126760563,"Profit"
2011-01-27,2011,"South","Virginia","Furniture","Furnishings","Home Office","Standard Class",12,4.4712,0,3,0.3726,"Profit"
2011-01-27,2011,"South","Virginia","Furniture","Furnishings","Home Office","Standard Class",63,30.7818,0,3,0.4886,"Profit"
2011-01-27,2011,"South","Virginia","Technology","Phones","Home Office","Standard Class",188,52.6344,0,2,0.279970212765957,"Profit"
2011-01-27,2011,"South","Virginia","Technology","Phones","Home Office","Standard Class",155,0,0,13,0,"Profit"
2011-01-28,2011,"West","California","Office Supplies","Art","Consumer","Standard Class",36,12.0252,0,4,0.334033333333333,"Profit"
2011-01-28,2011,"West","California","Office Supplies","Storage","Consumer","Standard Class",57,14.3075,0,1,0.251008771929825,"Profit"
2011-01-28,2011,"West","California","Furniture","Tables","Consumer","Standard Class",333,-16.65,0.2,3,-0.05,"Loss"
2011-01-29,2011,"East","New York","Office Supplies","Binders","Consumer","Standard Class",4,1.3257,0.2,1,0.331425,"Profit"
2011-01-31,2011,"Central","Michigan","Office Supplies","Paper","Consumer","Standard Class",11,4.752,0,2,0.432,"Profit"
2011-01-31,2011,"Central","Michigan","Office Supplies","Storage","Consumer","Standard Class",230,6.8982,0,2,0.0299921739130435,"Profit"
2011-02-01,2011,"West","California","Furniture","Bookcases","Consumer","First Class",291,3.4196,0.15,2,0.0117512027491409,"Profit"
2011-02-02,2011,"Central","Wisconsin","Technology","Accessories","Consumer","First Class",469,206.316,0,6,0.43990618336887,"Profit"
2011-02-03,2011,"West","California","Office Supplies","Fasteners","Home Office","Standard Class",12,5.8045,0,5,0.483708333333333,"Profit"
2011-02-03,2011,"South","Florida","Office Supplies","Binders","Consumer","Standard Class",18,-12.224,0.7,2,-0.679111111111111,"Loss"
2011-02-03,2011,"South","Florida","Technology","Phones","Consumer","Standard Class",181,13.572,0.2,5,0.0749834254143646,"Profit"
2011-02-04,2011,"West","Washington","Office Supplies","Binders","Consumer","Second Class",13,4.3134,0.2,3,0.3318,"Profit"
2011-02-04,2011,"West","Washington","Office Supplies","Binders","Consumer","Second Class",84,27.248,0.2,2,0.324380952380952,"Profit"
2011-02-05,2011,"West","California","Office Supplies","Paper","Home Office","Standard Class",34,16.0928,0,4,0.473317647058824,"Profit"
2011-02-05,2011,"West","California","Office Supplies","Binders","Corporate","Second Class",17,6.0368,0.2,2,0.355105882352941,"Profit"
2011-02-05,2011,"West","California","Office Supplies","Binders","Home Office","Standard Class",83,29.0136,0.2,3,0.349561445783133,"Profit"
2011-02-07,2011,"South","Virginia","Office Supplies","Labels","Corporate","First Class",15,7.2,0,4,0.48,"Profit"
2011-02-07,2011,"South","Virginia","Technology","Phones","Corporate","First Class",162,42.0186,0,1,0.259374074074074,"Profit"
2011-02-07,2011,"South","Virginia","Technology","Phones","Corporate","First Class",145,42.0355,0,5,0.2899,"Profit"
2011-02-07,2011,"Central","Illinois","Office Supplies","Binders","Consumer","Second Class",9,-14.7708,0.8,2,-1.6412,"Loss"
2011-02-08,2011,"East","New York","Office Supplies","Storage","Corporate","Second Class",65,9.744,0,4,0.149907692307692,"Profit"
2011-02-08,2011,"East","New Jersey","Technology","Accessories","Corporate","Standard Class",115,49.6048,0,7,0.431346086956522,"Profit"
2011-02-09,2011,"West","Nevada","Furniture","Furnishings","Home Office","First Class",15,5.5328,0,2,0.368853333333333,"Profit"
2011-02-12,2011,"South","Virginia","Office Supplies","Binders","Consumer","Standard Class",17,8.2062,0,2,0.482717647058824,"Profit"
2011-02-12,2011,"Central","Missouri","Office Supplies","Binders","Consumer","Second Class",52,24.393,0,3,0.469096153846154,"Profit"
2011-02-12,2011,"Central","Missouri","Office Supplies","Binders","Consumer","Second Class",10,4.4344,0,2,0.44344,"Profit"
2011-02-12,2011,"Central","Missouri","Office Supplies","Labels","Consumer","Second Class",15,6.8724,0,3,0.45816,"Profit"
2011-02-12,2011,"Central","Missouri","Office Supplies","Storage","Consumer","Second Class",65,2.5984,0,2,0.0399753846153846,"Profit"
2011-02-12,2011,"Central","Missouri","Furniture","Chairs","Consumer","Second Class",61,15.2225,0,1,0.249549180327869,"Profit"
2011-02-12,2011,"Central","Missouri","Furniture","Furnishings","Consumer","Second Class",333,53.2704,0,3,0.159971171171171,"Profit"
2011-02-12,2011,"South","Virginia","Furniture","Tables","Consumer","Standard Class",1256,75.3732,0,6,0.0600105095541401,"Profit"
2011-02-12,2011,"South","Virginia","Technology","Accessories","Consumer","Standard Class",234,103.158,0,3,0.440846153846154,"Profit"
2011-02-13,2011,"West","California","Furniture","Chairs","Consumer","Standard Class",130,-24.294,0.2,2,-0.186876923076923,"Loss"
2011-02-15,2011,"West","Washington","Office Supplies","Appliances","Corporate","Standard Class",82,22.9488,0,2,0.279863414634146,"Profit"
2011-02-15,2011,"West","Washington","Office Supplies","Supplies","Corporate","Standard Class",239,4.7724,0,2,0.0199682008368201,"Profit"
2011-02-15,2011,"West","Washington","Technology","Accessories","Corporate","Standard Class",240,86.3892,0,3,0.359955,"Profit"
2011-02-15,2011,"Central","Texas","Office Supplies","Paper","Consumer","Second Class",16,6.066,0.2,3,0.379125,"Profit"
2011-02-16,2011,"West","Washington","Office Supplies","Binders","Corporate","Standard Class",21,7.209,0.2,5,0.343285714285714,"Profit"
2011-02-17,2011,"Central","Texas","Office Supplies","Appliances","Consumer","Standard Class",8,-13.93,0.8,2,-1.74125,"Loss"
2011-02-17,2011,"Central","Texas","Office Supplies","Binders","Consumer","Standard Class",1,-1.728,0.8,3,-1.728,"Loss"
2011-02-18,2011,"Central","Illinois","Office Supplies","Art","Consumer","Standard Class",54,8.8088,0.2,14,0.163125925925926,"Profit"
2011-02-19,2011,"Central","Texas","Furniture","Furnishings","Consumer","Same Day",25,-11.322,0.6,5,-0.45288,"Loss"
2011-02-19,2011,"Central","Texas","Office Supplies","Storage","Consumer","Standard Class",13,-2.5248,0.2,2,-0.194215384615385,"Loss"
2011-02-21,2011,"West","California","Office Supplies","Paper","Home Office","Standard Class",13,6.2208,0,2,0.478523076923077,"Profit"
2011-02-21,2011,"Central","Indiana","Furniture","Furnishings","Corporate","Standard Class",20,6.9088,0,4,0.34544,"Profit"
2011-02-21,2011,"Central","Indiana","Technology","Accessories","Corporate","Standard Class",62,22.4316,0,3,0.3618,"Profit"
2011-02-22,2011,"Central","Illinois","Office Supplies","Binders","Consumer","Standard Class",9,-13.7175,0.8,5,-1.52416666666667,"Loss"
2011-02-23,2011,"West","California","Office Supplies","Paper","Consumer","First Class",19,9.3312,0,3,0.491115789473684,"Profit"
2011-02-24,2011,"Central","Texas","Office Supplies","Binders","Home Office","Standard Class",4,-6.8634,0.8,3,-1.71585,"Loss"
2011-02-24,2011,"Central","Texas","Office Supplies","Labels","Home Office","Standard Class",7,2.3409,0.2,3,0.334414285714286,"Profit"
2011-02-25,2011,"West","Oregon","Office Supplies","Paper","Consumer","Standard Class",33,11.1024,0.2,4,0.336436363636364,"Profit"
2011-02-25,2011,"West","Oregon","Office Supplies","Paper","Consumer","Standard Class",23,7.6869,0.2,3,0.334213043478261,"Profit"
2011-02-28,2011,"East","Ohio","Office Supplies","Art","Consumer","First Class",19,3.4048,0.2,4,0.1792,"Profit"
2011-03-01,2011,"East","New York","Technology","Phones","Home Office","Standard Class",6,1.6038,0,3,0.2673,"Profit"
2011-03-01,2011,"Central","Texas","Furniture","Tables","Consumer","Standard Class",377,-43.0296,0.3,3,-0.114136870026525,"Loss"
2011-03-01,2011,"Central","Texas","Furniture","Chairs","Consumer","Standard Class",362,0,0.3,6,0,"Profit"
2011-03-01,2011,"Central","Texas","Furniture","Furnishings","Consumer","Standard Class",64,-34.9536,0.6,6,-0.54615,"Loss"
2011-03-01,2011,"Central","Illinois","Furniture","Chairs","Home Office","Standard Class",634,-172.1172,0.3,6,-0.271478233438486,"Loss"
2011-03-01,2011,"West","Washington","Furniture","Chairs","Consumer","Second Class",458,51.4764,0.2,2,0.112393886462882,"Profit"
2011-03-01,2011,"Central","Illinois","Office Supplies","Paper","Home Office","Standard Class",17,5.6784,0.2,3,0.334023529411765,"Profit"
2011-03-01,2011,"Central","Texas","Office Supplies","Storage","Consumer","Standard Class",137,8.5845,0.2,3,0.0626605839416058,"Profit"
2011-03-01,2011,"Central","Texas","Office Supplies","Fasteners","Consumer","Standard Class",19,-3.5325,0.2,5,-0.185921052631579,"Loss"
2011-03-01,2011,"Central","Texas","Office Supplies","Storage","Consumer","Standard Class",130,-22.6716,0.2,3,-0.174396923076923,"Loss"
2011-03-02,2011,"East","New York","Office Supplies","Envelopes","Home Office","Standard Class",11,5.3392,0,2,0.485381818181818,"Profit"
